Tabs	Trel	O2(%)	H2(%)	CO(%)	CO2(%)	CH4(%)	SO2(ppm)	NO(ppm)	NO2(ppm)	N2O(ppm)	T(°C)	P()	Comments
24.12.2021 17:29:38	0	20.6	0.000	0.022	0.160	0.000	19	7	0	6	26.2	749.9	
24.12.2021 17:29:40	2	20.3	0.018	0.022	0.160	0.000	23	7	0	6	26.3	750.2	
24.12.2021 17:29:42	4	19.7	0.071	0.022	0.220	0.000	29	8	0	4	26.2	750.0	
24.12.2021 17:29:44	6	19.3	0.106	0.075	0.220	0.000	29	8	0	4	26.2	749.8	
24.12.2021 17:29:45	7	18.8	0.149	0.075	0.390	0.000	29	8	0	4	26.1	750.1	
24.12.2021 17:29:47	9	18.8	0.149	0.075	0.390	0.000	29	10	0	3	26.1	750.1	
24.12.2021 17:29:48	10	18.8	0.149	0.075	0.390	0.000	29	10	0	3	26.1	750.1	
24.12.2021 17:29:49	11	15.9	0.414	0.259	0.879	0.000	54	10	0	3	26.4	750.0	
24.12.2021 17:29:51	13	14.1	0.606	0.259	0.879	0.000	116	14	0	4	26.4	749.9	
24.12.2021 17:29:52	14	13.3	0.652	0.722	0.879	0.000	116	14	0	4	26.5	750.1	
24.12.2021 17:29:53	15	13.3	0.652	0.722	0.879	0.000	116	14	0	4	26.5	750.1	
24.12.2021 17:29:54	16	13.3	0.652	0.722	0.879	0.000	116	14	0	4	26.5	750.1	
24.12.2021 17:29:56	18	11.3	0.863	0.722	1.958	0.000	221	17	0	1	26.2	749.9	
24.12.2021 17:29:57	19	9.4	0.978	1.605	3.865	0.000	221	17	0	1	26.2	750.1	
24.12.2021 17:29:59	21	8.8	1.037	1.605	3.865	0.000	353	22	0	3	26.2	750.2	
24.12.2021 17:30:00	22	8.8	1.037	1.605	3.865	0.000	353	22	0	3	26.2	750.2	
24.12.2021 17:30:02	24	8.8	1.037	1.605	3.865	0.000	353	22	0	3	26.2	750.2	
24.12.2021 17:30:03	25	7.2	1.074	2.780	6.302	0.000	465	26	0	3	26.3	749.8	
24.12.2021 17:30:05	27	6.9	1.018	3.545	8.510	0.000	465	26	0	3	26.3	750.1	
24.12.2021 17:30:07	29	6.9	0.977	3.545	8.510	0.000	512	30	0	4	26.4	750.0	
24.12.2021 17:30:08	30	6.9	0.977	3.545	8.510	0.000	512	30	0	4	26.4	750.0	
24.12.2021 17:30:09	31	6.9	0.977	3.545	8.510	0.000	512	30	0	4	26.4	750.0	
24.12.2021 17:30:10	32	6.9	0.977	3.545	8.510	0.000	512	30	0	4	26.4	750.0	
24.12.2021 17:30:11	33	7.8	0.806	3.976	10.058	0.000	488	33	0	2	26.4	749.8	
24.12.2021 17:30:12	34	8.1	0.780	3.739	10.058	0.000	488	33	0	2	26.6	750.1	
24.12.2021 17:30:13	35	8.6	0.728	3.739	10.817	0.000	488	33	0	2	26.4	750.0	
24.12.2021 17:30:14	36	8.6	0.728	3.739	10.817	0.000	488	33	0	2	26.4	750.0	
24.12.2021 17:30:15	37	8.6	0.728	3.739	10.817	0.000	488	34	0	0	26.4	750.0	
24.12.2021 17:30:16	38	9.4	0.677	3.060	10.817	0.000	413	34	0	0	26.3	749.7	
24.12.2021 17:30:17	39	9.8	0.641	3.060	10.827	0.000	413	34	0	0	26.4	749.9	
24.12.2021 17:30:19	41	10.5	0.548	3.060	10.827	0.000	324	34	0	0	26.4	749.9	
24.12.2021 17:30:20	42	10.9	0.563	2.252	10.827	0.000	324	34	0	0	26.3	750.3	
24.12.2021 17:30:22	44	11.2	0.527	2.252	10.298	0.000	324	34	0	0	26.3	750.4	
24.12.2021 17:30:23	45	11.5	0.492	2.252	10.298	0.000	241	33	0	0	26.3	750.3	
24.12.2021 17:30:24	46	11.5	0.492	2.252	10.298	0.000	241	33	0	0	26.3	750.3	
24.12.2021 17:30:25	47	12.2	0.460	1.541	9.498	0.000	241	33	0	0	26.4	750.1	
24.12.2021 17:30:27	49	12.2	0.460	1.541	9.498	0.000	241	31	0	0	26.4	750.1	
24.12.2021 17:30:28	50	12.2	0.460	1.541	9.498	0.000	241	31	0	0	26.4	750.1	
24.12.2021 17:30:29	51	13.0	0.379	1.013	8.650	0.000	176	31	0	0	26.2	749.7	
24.12.2021 17:30:30	52	13.2	0.359	1.013	8.650	0.000	176	31	0	0	26.3	750.0	
24.12.2021 17:30:31	53	13.3	0.326	1.013	8.650	0.000	130	30	0	1	26.5	750.0	
24.12.2021 17:30:33	55	13.3	0.326	1.013	8.650	0.000	130	30	0	1	26.5	750.0	
24.12.2021 17:30:35	57	13.8	0.270	0.646	7.910	0.000	98	28	0	3	26.2	749.9	
24.12.2021 17:30:36	58	13.9	0.265	0.420	7.910	0.000	98	28	0	3	26.3	750.0	
