Tabs	Trel	O2(%)	H2(%)	CO(%)	CO2(%)	CH4(%)	SO2(ppm)	NO(ppm)	NO2(ppm)	N2O(ppm)	T(°C)	P()	Comments
24.12.2021 15:55:55	0	20.5	0.000	0.006	0.000	0.579	0	0	0	0	25.5	747.9	
24.12.2021 15:58:51	176	20.4	0.003	0.000	0.000	0.592	0	0	0	0	25.8	748.3	
24.12.2021 15:58:54	179	20.5	0.003	0.006	0.000	0.617	0	0	0	0	25.9	748.8	
24.12.2021 15:58:57	182	20.9	0.003	0.006	0.000	0.617	0	0	0	0	25.7	748.1	
24.12.2021 15:59:00	185	20.9	0.003	0.006	0.000	0.617	0	0	0	0	25.7	748.1	
24.12.2021 15:59:04	189	21.0	0.000	0.006	0.000	0.579	0	0	0	0	25.7	748.2	
24.12.2021 15:59:08	193	21.0	0.000	0.006	0.000	0.554	0	0	0	0	25.7	748.5	
24.12.2021 15:59:11	196	21.0	0.003	0.000	0.000	0.554	0	0	0	0	25.8	747.8	
24.12.2021 15:59:15	200	21.0	0.009	0.006	0.000	0.554	0	0	0	0	25.6	748.2	
24.12.2021 15:59:19	204	21.0	0.009	0.006	0.000	0.567	0	0	0	0	25.5	748.1	
24.12.2021 15:59:23	208	20.9	0.014	0.006	0.010	0.567	0	0	0	0	25.8	748.3	
24.12.2021 15:59:27	212	21.0	0.012	0.006	0.010	0.567	0	0	0	0	25.6	748.0	
24.12.2021 15:59:31	216	20.9	0.018	0.006	0.010	0.554	0	0	0	0	25.8	748.3	
24.12.2021 15:59:34	219	19.5	0.136	0.039	0.090	0.541	0	0	0	0	25.5	748.1	
24.12.2021 15:59:38	223	17.6	0.337	0.039	0.090	0.503	11	0	0	0	25.6	748.1	
24.12.2021 15:59:41	226	17.6	0.337	0.039	0.090	0.503	11	5	0	0	25.6	748.1	
24.12.2021 15:59:44	229	17.6	0.337	0.039	0.090	0.503	11	5	0	0	25.6	748.1	
24.12.2021 15:59:47	232	11.1	1.074	0.589	1.089	0.086	170	22	0	0	25.5	748.2	
24.12.2021 15:59:51	236	7.5	1.356	2.669	2.497	0.000	305	39	1	0	25.5	748.3	
24.12.2021 15:59:54	239	6.4	1.458	2.669	4.505	0.000	429	39	1	0	25.4	748.0	
24.12.2021 15:59:57	242	5.8	1.371	3.661	6.472	0.000	429	52	1	0	25.4	748.3	
24.12.2021 16:00:00	245	6.2	1.194	3.963	8.020	0.000	484	60	0	0	25.6	747.9	
24.12.2021 16:00:03	248	7.0	1.066	3.715	8.999	0.000	456	61	0	0	25.4	748.1	
24.12.2021 16:00:07	252	8.6	0.870	3.003	9.319	0.000	375	56	0	0	25.5	748.2	
24.12.2021 16:00:11	256	9.6	0.789	2.184	9.319	0.048	277	51	0	0	25.4	748.6	
24.12.2021 16:00:14	259	9.6	0.789	2.184	9.319	0.048	277	51	0	0	25.4	748.6	
24.12.2021 16:00:17	262	11.9	0.521	1.462	8.500	0.326	191	44	0	0	25.8	748.2	
24.12.2021 16:00:20	265	12.4	0.470	0.923	7.771	0.326	123	38	0	0	25.8	748.3	
24.12.2021 16:00:23	268	13.1	0.395	0.567	7.101	0.415	78	34	0	0	25.7	748.0	
24.12.2021 16:00:26	271	13.2	0.368	0.567	7.101	0.478	78	34	0	0	25.9	748.1	
